safe,dsid,kind_hint,indp_policy,priority,already_have,notes
density_3d_mpi2_0,10409,scalar,fill_and_last,high,0,full_catalog;NDDT;Density - 3D (MPI2.0)
freeze_time_3d_mpi2_0,10410,scalar,last,high,0,full_catalog;NDDT;Freeze time - 3D (MPI2.0)
isotropic_shrinkage_mpi2_0,10500,scalar,last,high,0,full_catalog;ELDT;Isotropic Shrinkage (MPI2.0)
anisotropic_shrinkage_mpi2_0,10501,scalar,last,high,0,full_catalog;ELDT;Anisotropic Shrinkage (MPI2.0)
material_orientation_mpi2_0,10503,tensor,last,high,0,full_catalog;ELDT;Material Orientation (MPI2.0)
warpage_mpi2_0,10556,scalar,last,high,0,full_catalog;NDDT;Warpage (MPI2.0)
deflection_x_y_z_mpi2_0,10557,scalar,last,high,0,force_export_all; warp_component
cooling_warpage_mpi2_0,10566,scalar,last,high,0,full_catalog;NDDT;Cooling: warpage (MPI2.0)
cooling_deflection_x_y_z_mpi2_0,10567,scalar,last,high,0,force_export_all; warp_component
shrinkage_x_displacement_mpi2_0,10570,scalar,last,high,0,full_catalog;NDDT;Shrinkage: X displacement (MPI2.0)
shrinkage_y_displacement_mpi2_0,10571,scalar,last,high,0,full_catalog;NDDT;Shrinkage: Y displacement (MPI2.0)
shrinkage_z_displacement_mpi2_0,10572,scalar,last,high,0,full_catalog;NDDT;Shrinkage: Z displacement (MPI2.0)
shrinkage_x_rotation_mpi2_0,10573,scalar,last,high,0,full_catalog;NDDT;Shrinkage: X Rotation (MPI2.0)
shrinkage_y_rotation_mpi2_0,10574,scalar,last,high,0,full_catalog;NDDT;Shrinkage: Y Rotation (MPI2.0)
shrinkage_z_rotation_mpi2_0,10575,scalar,last,high,0,full_catalog;NDDT;Shrinkage: Z Rotation (MPI2.0)
shrinkage_warpage_mpi2_0,10576,scalar,last,high,0,full_catalog;NDDT;Shrinkage: Warpage (MPI2.0)
shrinkage_deflection_x_y_z_mpi2_0,10577,scalar,last,high,0,force_export_all; warp_component
orientation_x_displacement_mpi2_0,10580,tensor,last,high,0,full_catalog;NDDT;Orientation: X displacement (MPI2.0)
orientation_y_displacement_mpi2_0,10581,tensor,last,high,0,full_catalog;NDDT;Orientation: Y displacement (MPI2.0)
orientation_z_displacement_mpi2_0,10582,tensor,last,high,0,full_catalog;NDDT;Orientation: Z displacement (MPI2.0)
orientation_x_rotation_mpi2_0,10583,tensor,last,high,0,full_catalog;NDDT;Orientation: X Rotation (MPI2.0)
orientation_y_rotation_mpi2_0,10584,tensor,last,high,0,full_catalog;NDDT;Orientation: Y Rotation (MPI2.0)
orientation_z_rotation_mpi2_0,10585,tensor,last,high,0,full_catalog;NDDT;Orientation: Z Rotation (MPI2.0)
orientation_warpage_mpi2_0,10586,tensor,last,high,0,full_catalog;NDDT;Orientation: Warpage (MPI2.0)
orientation_deflection_x_y_z_mpi2_0,10587,tensor,last,high,0,force_export_all; warp_component
orientation_at_core_overmolding,11030,tensor,last,high,0,full_catalog;ELDT;Orientation at core (overmolding)
orientation_at_skin_overmolding,11040,tensor,last,high,0,full_catalog;ELDT;Orientation at skin (overmolding)
orientation_at_top_skin_overmolding,11045,tensor,last,high,0,full_catalog;ELDT;Orientation at top skin (overmolding)
orientation_at_bottom_skin_overmolding,11050,tensor,last,high,0,full_catalog;ELDT;Orientation at bottom skin (overmolding)
shear_rate_bulk_overmolding,11120,scalar,fill_and_last,high,0,full_catalog;ELDT;Shear rate; bulk (overmolding)
pressure_overmolding,11180,scalar,fill,high,0,full_catalog;NDDT;Pressure (overmolding)
pressure_at_end_of_fill_overmolding,11190,scalar,last,high,0,full_catalog;NDDT;Pressure at end of fill (overmolding)
hold_pressure_overmolding,11195,scalar,fill,high,0,full_catalog;NDDT;Hold pressure (overmolding)
frozen_pressure_overmolding,11197,scalar,fill,high,0,full_catalog;ELDT;Frozen pressure (overmolding)
bulk_temperature_at_end_of_fill_overmolding,11220,scalar,last,high,0,full_catalog;ELDT;Bulk temperature at end of fill (overmol
frozen_layer_fraction_at_end_of_fill_overmolding,11230,scalar,last,high,0,full_catalog;ELDT;Frozen layer fraction at end of fill (ov
average_fiber_orientation_overmolding,11400,tensor,last,high,0,full_catalog;ELDT;Average fiber orientation (overmolding)
fiber_orientation_tensor_overmolding,11402,tensor,last,high,0,full_catalog;ELDT;Fiber orientation tensor (overmolding)
fiber_orientation_tensor_restart_overmolding,11404,tensor,last,high,0,full_catalog;ELDT;Fiber orientation tensor (restart) (over
tensile_modulus_in_first_principal_direction_fib,11406,scalar,last,high,0,full_catalog;ELDT;Tensile modulus in first principal direc
tensile_modulus_in_second_principal_direction_fi,11408,scalar,last,high,0,full_catalog;ELDT;Tensile modulus in second principal dire
shear_modulus_fiber_overmolding,11410,scalar,fill,high,0,full_catalog;ELDT;Shear modulus (fiber) (overmolding)
poisson_s_ratio_fiber_overmolding,11412,scalar,last,high,0,full_catalog;ELDT;Poisson's ratio (fiber) (overmolding)
linear_thermal_expansion_coefficient_in_first_pr,11414,scalar,last,high,0,full_catalog;ELDT;Linear thermal expansion coefficient in 
linear_thermal_expansion_coefficient_in_second_p,11416,scalar,last,high,0,full_catalog;ELDT;Linear thermal expansion coefficient in 
average_velocity_overmolding,11420,vector,fill,high,0,full_catalog;ELDT;Average velocity (overmolding)
volumetric_shrinkage_at_ejection_overmolding,11440,scalar,last,high,0,full_catalog;ELDT;Volumetric shrinkage at ejection (overmo
sink_marks_depth_overmolding,11444,scalar,last,high,0,full_catalog;ELDT;Sink marks; depth (overmolding)
flow_rate_beams_overmolding,11450,scalar,last,high,0,full_catalog;ELDT;Flow rate; beams (overmolding)
bulk_temperature_overmolding,11460,scalar,fill_and_last,high,0,full_catalog;ELDT;Bulk temperature (overmolding)
shear_stress_at_wall_overmolding,11470,scalar,fill,high,0,full_catalog;ELDT;Shear stress at wall (overmolding)
volumetric_shrinkage_overmolding,11480,scalar,last,high,0,full_catalog;ELDT;Volumetric shrinkage (overmolding)
frozen_layer_fraction_overmolding,11490,scalar,fill_and_last,high,0,full_catalog;ELDT;Frozen layer fraction (overmolding)
sink_marks_index_overmolding,11510,scalar,last,high,0,full_catalog;ELDT;Sink marks; index (overmolding)
time_to_reach_ejection_temperature_overmolding,11520,scalar,last,high,0,full_catalog;ELDT;Time to reach ejection temperature (over
temperature_3d_overmolding_for_warp_analysis,11539,scalar,fill,high,0,full_catalog;NDDT;Temperature (3D overmolding) for warp an
temperature_overmolding,11540,scalar,fill,high,0,full_catalog;NDDT;Temperature (overmolding)
temperature_overmolding,11545,scalar,fill,high,0,full_catalog;ELDT;Temperature (overmolding)
velocity_overmolding,11555,vector,fill,high,0,full_catalog;ELDT;Velocity (overmolding)
shear_rate_overmolding,11584,scalar,fill,high,0,full_catalog;NDDT;Shear rate (overmolding)
shear_rate_overmolding,11585,scalar,fill,high,0,full_catalog;ELDT;Shear rate (overmolding)
viscosity_overmolding,11595,scalar,fill,high,0,full_catalog;NDDT;Viscosity (overmolding)
shear_rate_maximum_overmolding,11597,scalar,fill,high,0,full_catalog;NDDT;Shear rate; maximum (overmolding)
density_overmolding,11600,scalar,fill_and_last,high,0,full_catalog;NDDT;Density (overmolding)
fill_time_overmolding,11610,scalar,last,high,0,full_catalog;NDDT;Fill time (overmolding)
unfilled_cavity_overmolding,11611,scalar,last,high,0,full_catalog;NDDT;Unfilled cavity (overmolding)
volumetric_shrinkage_overmolding,11620,scalar,last,high,0,full_catalog;NDDT;Volumetric shrinkage (overmolding)
volumetric_shrinkage_3d_overmolding_for_warp_ana,11621,scalar,last,high,0,full_catalog;NDDT;Volumetric shrinkage (3D overmolding) fo
air_traps_overmolding,11622,scalar,last,high,0,full_catalog;NDDT;Air traps (overmolding)
freeze_time_overmolding,11630,scalar,last,high,0,full_catalog;NDDT;Freeze time (overmolding)
polymer_fill_region_overmolding,11649,scalar,last,high,0,full_catalog;NDDT;Polymer fill region (overmolding)
weld_lines_overmolding,11722,scalar,last,high,0,full_catalog;NDDT;Weld lines (overmolding)
weld_and_meld_lines_overmolding,11732,scalar,last,high,0,full_catalog;NDDT;Weld and meld lines (overmolding)
melt_flow_direction_3d_overmolding_for_warp_anal,11745,scalar,last,high,0,full_catalog;NDDT;Melt flow direction (3D overmolding) for
velocity_overmolding,11750,vector,fill,high,0,full_catalog;NDDT;Velocity (overmolding)
pressure_at_v_p_switchover_overmolding,11760,scalar,last,high,0,full_catalog;NDDT;Pressure at V/P switchover (overmolding)
temperature_at_flow_front_overmolding,11770,scalar,fill,high,0,full_catalog;NDDT;Temperature at flow front (overmolding)
